DNA Pattern Finder Report
Source file: BRCA1_FASTA.txt

Sequence length: 126033 bases
A: 35147    C: 27208    G: 28369    T: 35309
GC content: 44.1%

Last motif searched: (none)
Motif occurrences: n/a

Number of ORFs found (forward strand): 1891
1) start: 251, stop: 460, length: 210 bases
599) start: 39813, stop: 39833, length: 21 bases
600) start: 39951, stop: 40064, length: 114 bases
601) start: 40033, stop: 40080, length: 48 bases
602) start: 40211, stop: 40216, length: 6 bases
603) start: 40216, stop: 40245, length: 30 bases
604) start: 40400, stop: 40426, length: 27 bases
605) start: 40405, stop: 40410, length: 6 bases
606) start: 40482, stop: 40490, length: 9 bases
607) start: 40701, stop: 40739, length: 39 bases
608) start: 40749, stop: 40757, length: 9 bases
609) start: 41050, stop: 41055, length: 6 bases
610) start: 41109, stop: 41186, length: 78 bases
611) start: 41207, stop: 41212, length: 6 bases
612) start: 41294, stop: 41398, length: 105 bases
613) start: 41389, stop: 41475, length: 87 bases
614) start: 41616, stop: 41624, length: 9 bases
615) start: 41621, stop: 41641, length: 21 bases
616) start: 41634, stop: 41654, length: 21 bases
617) start: 41702, stop: 41716, length: 15 bases
618) start: 41805, stop: 41846, length: 42 bases
619) start: 41855, stop: 41926, length: 72 bases
620) start: 41898, stop: 42155, length: 258 bases
621) start: 41901, stop: 42155, length: 255 bases
622) start: 41926, stop: 41991, length: 66 bases
623) start: 42035, stop: 42469, length: 435 bases
624) start: 42156, stop: 42179, length: 24 bases
625) start: 42161, stop: 42469, length: 309 bases
626) start: 42308, stop: 42469, length: 162 bases
627) start: 42338, stop: 42469, length: 132 bases
628) start: 42500, stop: 42517, length: 18 bases
629) start: 43150, stop: 43296, length: 147 bases
630) start: 43241, stop: 43261, length: 21 bases
631) start: 43597, stop: 43644, length: 48 bases
632) start: 43905, stop: 43952, length: 48 bases
633) start: 43960, stop: 43983, length: 24 bases
634) start: 44154, stop: 44309, length: 156 bases
635) start: 44259, stop: 44309, length: 51 bases
636) start: 44433, stop: 44579, length: 147 bases
637) start: 44500, stop: 44676, length: 177 bases
638) start: 44668, stop: 44676, length: 9 bases
639) start: 44717, stop: 44842, length: 126 bases
640) start: 45096, stop: 45167, length: 72 bases
641) start: 45143, stop: 45157, length: 15 bases
642) start: 45303, stop: 45311, length: 9 bases
643) start: 45322, stop: 45375, length: 54 bases
644) start: 45347, stop: 45499, length: 153 bases
645) start: 45594, stop: 45686, length: 93 bases
646) start: 45598, stop: 45711, length: 114 bases
647) start: 45606, stop: 45686, length: 81 bases
648) start: 45639, stop: 45686, length: 48 bases
649) start: 45753, stop: 45794, length: 42 bases
650) start: 45768, stop: 45794, length: 27 bases
651) start: 45791, stop: 45835, length: 45 bases
652) start: 45871, stop: 45951, length: 81 bases
653) start: 46000, stop: 46005, length: 6 bases
654) start: 46021, stop: 46122, length: 102 bases
655) start: 46140, stop: 46151, length: 12 bases
656) start: 46148, stop: 46210, length: 63 bases
657) start: 46191, stop: 46202, length: 12 bases
658) start: 46202, stop: 46210, length: 9 bases
659) start: 46232, stop: 46315, length: 84 bases
660) start: 46269, stop: 46298, length: 30 bases
661) start: 46278, stop: 46298, length: 21 bases
662) start: 46283, stop: 46315, length: 33 bases
663) start: 46349, stop: 46381, length: 33 bases
664) start: 46362, stop: 46394, length: 33 bases
665) start: 46368, stop: 46394, length: 27 bases
666) start: 46407, stop: 46433, length: 27 bases
667) start: 46475, stop: 46606, length: 132 bases
668) start: 46657, stop: 46668, length: 12 bases
669) start: 46673, stop: 46708, length: 36 bases
670) start: 46677, stop: 46841, length: 165 bases
671) start: 46699, stop: 46800, length: 102 bases
672) start: 46777, stop: 46800, length: 24 bases
673) start: 46830, stop: 46841, length: 12 bases
674) start: 46894, stop: 46905, length: 12 bases
675) start: 46912, stop: 47055, length: 144 bases
676) start: 46980, stop: 47000, length: 21 bases
677) start: 46984, stop: 47055, length: 72 bases
678) start: 47052, stop: 47108, length: 57 bases
679) start: 47079, stop: 47108, length: 30 bases
680) start: 47084, stop: 47371, length: 288 bases
681) start: 47235, stop: 47246, length: 12 bases
682) start: 47275, stop: 47472, length: 198 bases
683) start: 47353, stop: 47472, length: 120 bases
684) start: 47602, stop: 47631, length: 30 bases
685) start: 47611, stop: 47631, length: 21 bases
686) start: 47703, stop: 47711, length: 9 bases
687) start: 47839, stop: 47844, length: 6 bases
688) start: 47844, stop: 47936, length: 93 bases
689) start: 47876, stop: 47881, length: 6 bases
690) start: 47890, stop: 47955, length: 66 bases
691) start: 47922, stop: 47936, length: 15 bases
692) start: 48026, stop: 48049, length: 24 bases
693) start: 48032, stop: 48049, length: 18 bases
694) start: 48126, stop: 48149, length: 24 bases
695) start: 48175, stop: 48216, length: 42 bases
696) start: 48179, stop: 48247, length: 69 bases
697) start: 48322, stop: 48333, length: 12 bases
698) start: 48370, stop: 48402, length: 33 bases
699) start: 48423, stop: 48452, length: 30 bases
700) start: 48436, stop: 48486, length: 51 bases
701) start: 48460, stop: 48486, length: 27 bases
702) start: 48524, stop: 48529, length: 6 bases
703) start: 48532, stop: 48609, length: 78 bases
704) start: 48538, stop: 48609, length: 72 bases
705) start: 48568, stop: 48609, length: 42 bases
706) start: 48773, stop: 48793, length: 21 bases
707) start: 49091, stop: 49102, length: 12 bases
708) start: 49137, stop: 49166, length: 30 bases
709) start: 49149, stop: 49166, length: 18 bases
710) start: 49759, stop: 49776, length: 18 bases
711) start: 49860, stop: 49895, length: 36 bases
712) start: 49882, stop: 49929, length: 48 bases
713) start: 49954, stop: 49962, length: 9 bases
714) start: 49964, stop: 49969, length: 6 bases
715) start: 49976, stop: 50044, length: 69 bases
716) start: 49982, stop: 50044, length: 63 bases
717) start: 50135, stop: 50173, length: 39 bases
718) start: 50175, stop: 50210, length: 36 bases
719) start: 50256, stop: 50306, length: 51 bases
720) start: 50537, stop: 50563, length: 27 bases
721) start: 50553, stop: 50603, length: 51 bases
722) start: 50598, stop: 50603, length: 6 bases
723) start: 50701, stop: 50760, length: 60 bases
724) start: 50824, stop: 50853, length: 30 bases
725) start: 50953, stop: 50970, length: 18 bases
726) start: 50967, stop: 51149, length: 183 bases
727) start: 51063, stop: 51149, length: 87 bases
728) start: 51107, stop: 51160, length: 54 bases
729) start: 51318, stop: 51401, length: 84 bases
730) start: 51361, stop: 51492, length: 132 bases
731) start: 51443, stop: 51523, length: 81 bases
732) start: 51659, stop: 51736, length: 78 bases
733) start: 51681, stop: 51719, length: 39 bases
734) start: 51741, stop: 51836, length: 96 bases
735) start: 51750, stop: 51836, length: 87 bases
736) start: 51795, stop: 51836, length: 42 bases
737) start: 51805, stop: 51981, length: 177 bases
738) start: 51886, stop: 51981, length: 96 bases
739) start: 52085, stop: 52174, length: 90 bases
740) start: 52104, stop: 52163, length: 60 bases
741) start: 52149, stop: 52163, length: 15 bases
742) start: 52242, stop: 52271, length: 30 bases
743) start: 52312, stop: 52338, length: 27 bases
744) start: 52326, stop: 52424, length: 99 bases
745) start: 52369, stop: 52401, length: 33 bases
746) start: 52378, stop: 52401, length: 24 bases
747) start: 52484, stop: 52492, length: 9 bases
748) start: 52501, stop: 52521, length: 21 bases
749) start: 52532, stop: 52591, length: 60 bases
750) start: 52547, stop: 52591, length: 45 bases
751) start: 52593, stop: 52886, length: 294 bases
752) start: 52719, stop: 52886, length: 168 bases
753) start: 52727, stop: 52738, length: 12 bases
754) start: 52806, stop: 52886, length: 81 bases
755) start: 52849, stop: 52911, length: 63 bases
756) start: 53014, stop: 53055, length: 42 bases
757) start: 53081, stop: 53098, length: 18 bases
758) start: 53149, stop: 53172, length: 24 bases
759) start: 53159, stop: 53188, length: 30 bases
760) start: 53248, stop: 53265, length: 18 bases
761) start: 53324, stop: 53359, length: 36 bases
762) start: 53416, stop: 53442, length: 27 bases
763) start: 53439, stop: 53447, length: 9 bases
764) start: 53460, stop: 53480, length: 21 bases
765) start: 53518, stop: 53577, length: 60 bases
766) start: 53607, stop: 53630, length: 24 bases
767) start: 53757, stop: 53840, length: 84 bases
768) start: 53831, stop: 53890, length: 60 bases
769) start: 53894, stop: 53935, length: 42 bases
770) start: 53986, stop: 54009, length: 24 bases
771) start: 54006, stop: 54014, length: 9 bases
772) start: 54014, stop: 54034, length: 21 bases
773) start: 54034, stop: 54072, length: 39 bases
774) start: 54185, stop: 54274, length: 90 bases
775) start: 54198, stop: 54308, length: 111 bases
776) start: 54203, stop: 54274, length: 72 bases
777) start: 54246, stop: 54308, length: 63 bases
778) start: 54283, stop: 54300, length: 18 bases
779) start: 54289, stop: 54300, length: 12 bases
780) start: 54434, stop: 54451, length: 18 bases
781) start: 54613, stop: 54675, length: 63 bases
782) start: 54620, stop: 54637, length: 18 bases
783) start: 54870, stop: 55046, length: 177 bases
784) start: 54964, stop: 54975, length: 12 bases
785) start: 55127, stop: 55132, length: 6 bases
786) start: 55262, stop: 55279, length: 18 bases
787) start: 55396, stop: 55434, length: 39 bases
788) start: 55414, stop: 55434, length: 21 bases
789) start: 55420, stop: 55434, length: 15 bases
790) start: 55501, stop: 55542, length: 42 bases
791) start: 55511, stop: 55531, length: 21 bases
792) start: 55532, stop: 55576, length: 45 bases
793) start: 55560, stop: 55730, length: 171 bases
794) start: 55597, stop: 55638, length: 42 bases
795) start: 55635, stop: 55730, length: 96 bases
796) start: 55638, stop: 55730, length: 93 bases
797) start: 55704, stop: 55730, length: 27 bases
798) start: 55718, stop: 55741, length: 24 bases
799) start: 55768, stop: 55857, length: 90 bases
800) start: 55781, stop: 55978, length: 198 bases
801) start: 55821, stop: 55850, length: 30 bases
802) start: 55827, stop: 55850, length: 24 bases
803) start: 55882, stop: 55971, length: 90 bases
804) start: 56005, stop: 56025, length: 21 bases
805) start: 56022, stop: 56054, length: 33 bases
806) start: 56031, stop: 56054, length: 24 bases
807) start: 56058, stop: 56123, length: 66 bases
808) start: 56192, stop: 56362, length: 171 bases
809) start: 56220, stop: 56231, length: 12 bases
810) start: 56257, stop: 56466, length: 210 bases
811) start: 56437, stop: 56466, length: 30 bases
812) start: 56564, stop: 56608, length: 45 bases
813) start: 56639, stop: 56650, length: 12 bases
814) start: 56758, stop: 56781, length: 24 bases
815) start: 56805, stop: 56864, length: 60 bases
816) start: 56899, stop: 56931, length: 33 bases
817) start: 56905, stop: 56931, length: 27 bases
818) start: 56997, stop: 57143, length: 147 bases
819) start: 57040, stop: 57099, length: 60 bases
820) start: 57107, stop: 57112, length: 6 bases
821) start: 57143, stop: 57181, length: 39 bases
822) start: 57175, stop: 57225, length: 51 bases
823) start: 57378, stop: 57452, length: 75 bases
824) start: 57645, stop: 57833, length: 189 bases
825) start: 57667, stop: 57720, length: 54 bases
826) start: 57678, stop: 57833, length: 156 bases
827) start: 57846, stop: 57992, length: 147 bases
828) start: 57885, stop: 57992, length: 108 bases
829) start: 57917, stop: 57928, length: 12 bases
830) start: 58039, stop: 58101, length: 63 bases
831) start: 58082, stop: 58123, length: 42 bases
832) start: 58092, stop: 58166, length: 75 bases
833) start: 58244, stop: 58255, length: 12 bases
834) start: 58250, stop: 58255, length: 6 bases
835) start: 58271, stop: 58288, length: 18 bases
836) start: 58322, stop: 58402, length: 81 bases
837) start: 58325, stop: 58402, length: 78 bases
838) start: 58359, stop: 58376, length: 18 bases
839) start: 58703, stop: 58720, length: 18 bases
840) start: 58852, stop: 59157, length: 306 bases
841) start: 58936, stop: 59157, length: 222 bases
842) start: 58991, stop: 59020, length: 30 bases
843) start: 59071, stop: 59157, length: 87 bases
844) start: 59107, stop: 59157, length: 51 bases
845) start: 59165, stop: 59173, length: 9 bases
846) start: 59196, stop: 59651, length: 456 bases
847) start: 59201, stop: 59314, length: 114 bases
848) start: 59231, stop: 59314, length: 84 bases
849) start: 59365, stop: 59376, length: 12 bases
850) start: 59369, stop: 59416, length: 48 bases
851) start: 59410, stop: 59439, length: 30 bases
852) start: 59529, stop: 59651, length: 123 bases
853) start: 59539, stop: 59565, length: 27 bases
854) start: 59599, stop: 59613, length: 15 bases
855) start: 59616, stop: 59651, length: 36 bases
856) start: 59684, stop: 59689, length: 6 bases
857) start: 59697, stop: 59702, length: 6 bases
858) start: 59790, stop: 59819, length: 30 bases
859) start: 59925, stop: 59993, length: 69 bases
860) start: 60014, stop: 60037, length: 24 bases
861) start: 60101, stop: 60184, length: 84 bases
862) start: 60186, stop: 60254, length: 69 bases
863) start: 60231, stop: 60254, length: 24 bases
864) start: 60328, stop: 60336, length: 9 bases
865) start: 60619, stop: 60732, length: 114 bases
866) start: 60626, stop: 60637, length: 12 bases
867) start: 60656, stop: 60661, length: 6 bases
868) start: 60716, stop: 60763, length: 48 bases
869) start: 60788, stop: 60994, length: 207 bases
870) start: 60906, stop: 60983, length: 78 bases
871) start: 61022, stop: 61099, length: 78 bases
872) start: 61043, stop: 61099, length: 57 bases
873) start: 61050, stop: 61133, length: 84 bases
874) start: 61075, stop: 61158, length: 84 bases
875) start: 61181, stop: 61219, length: 39 bases
876) start: 61338, stop: 61448, length: 111 bases
877) start: 61374, stop: 61448, length: 75 bases
878) start: 61465, stop: 61539, length: 75 bases
879) start: 61473, stop: 61484, length: 12 bases
880) start: 61716, stop: 61736, length: 21 bases
881) start: 61808, stop: 61921, length: 114 bases
882) start: 61880, stop: 61921, length: 42 bases
883) start: 61915, stop: 62103, length: 189 bases
884) start: 61974, stop: 62348, length: 375 bases
885) start: 62024, stop: 62053, length: 30 bases
886) start: 62029, stop: 62103, length: 75 bases
887) start: 62083, stop: 62103, length: 21 bases
888) start: 62173, stop: 62292, length: 120 bases
889) start: 62371, stop: 62439, length: 69 bases
890) start: 62380, stop: 62439, length: 60 bases
891) start: 62466, stop: 62525, length: 60 bases
892) start: 62522, stop: 62572, length: 51 bases
893) start: 62587, stop: 62622, length: 36 bases
894) start: 62680, stop: 62730, length: 51 bases
895) start: 62717, stop: 62872, length: 156 bases
896) start: 62756, stop: 62872, length: 117 bases
897) start: 62791, stop: 62832, length: 42 bases
898) start: 62801, stop: 62872, length: 72 bases
899) start: 62974, stop: 63060, length: 87 bases
900) start: 63041, stop: 63085, length: 45 bases
901) start: 63062, stop: 63085, length: 24 bases
902) start: 63107, stop: 63148, length: 42 bases
903) start: 63158, stop: 63166, length: 9 bases
904) start: 63308, stop: 63319, length: 12 bases
905) start: 63312, stop: 63353, length: 42 bases
906) start: 63316, stop: 63393, length: 78 bases
907) start: 63353, stop: 63421, length: 69 bases
908) start: 63357, stop: 63413, length: 57 bases
909) start: 63371, stop: 63421, length: 51 bases
910) start: 63450, stop: 63488, length: 39 bases
911) start: 63478, stop: 63525, length: 48 bases
912) start: 63485, stop: 63493, length: 9 bases
913) start: 63496, stop: 63525, length: 30 bases
914) start: 63514, stop: 63525, length: 12 bases
915) start: 63541, stop: 63546, length: 6 bases
916) start: 63564, stop: 63659, length: 96 bases
917) start: 63568, stop: 63573, length: 6 bases
918) start: 63599, stop: 63604, length: 6 bases
919) start: 63620, stop: 63760, length: 141 bases
920) start: 63682, stop: 63735, length: 54 bases
921) start: 63717, stop: 63794, length: 78 bases
922) start: 63802, stop: 63888, length: 87 bases
923) start: 63849, stop: 63854, length: 6 bases
924) start: 63857, stop: 63865, length: 9 bases
925) start: 63888, stop: 63917, length: 30 bases
926) start: 63891, stop: 63917, length: 27 bases
927) start: 64037, stop: 64120, length: 84 bases
928) start: 64086, stop: 64100, length: 15 bases
929) start: 64115, stop: 64120, length: 6 bases
930) start: 64339, stop: 64368, length: 30 bases
931) start: 64371, stop: 64409, length: 39 bases
932) start: 64384, stop: 64419, length: 36 bases
933) start: 64498, stop: 64617, length: 120 bases
934) start: 64532, stop: 64537, length: 6 bases
935) start: 64543, stop: 64617, length: 75 bases
936) start: 64610, stop: 64744, length: 135 bases
937) start: 64622, stop: 64744, length: 123 bases
938) start: 64626, stop: 64655, length: 30 bases
939) start: 64686, stop: 64718, length: 33 bases
940) start: 64768, stop: 64815, length: 48 bases
941) start: 64806, stop: 64829, length: 24 bases
942) start: 64844, stop: 64855, length: 12 bases
943) start: 64926, stop: 64991, length: 66 bases
944) start: 64932, stop: 64991, length: 60 bases
945) start: 64942, stop: 64986, length: 45 bases
946) start: 65020, stop: 65073, length: 54 bases
947) start: 65036, stop: 65173, length: 138 bases
948) start: 65106, stop: 65156, length: 51 bases
949) start: 65111, stop: 65173, length: 63 bases
950) start: 65180, stop: 65329, length: 150 bases
951) start: 65184, stop: 65201, length: 18 bases
952) start: 65229, stop: 65246, length: 18 bases
953) start: 65235, stop: 65246, length: 12 bases
954) start: 65238, stop: 65246, length: 9 bases
955) start: 65294, stop: 65329, length: 36 bases
956) start: 65483, stop: 65506, length: 24 bases
957) start: 65503, stop: 65571, length: 69 bases
958) start: 65537, stop: 65548, length: 12 bases
959) start: 65860, stop: 65889, length: 30 bases
960) start: 65952, stop: 66032, length: 81 bases
961) start: 66044, stop: 66082, length: 39 bases
962) start: 66067, stop: 66120, length: 54 bases
963) start: 66124, stop: 66210, length: 87 bases
964) start: 66147, stop: 66272, length: 126 bases
965) start: 66274, stop: 66546, length: 273 bases
966) start: 66359, stop: 66370, length: 12 bases
967) start: 66404, stop: 66433, length: 30 bases
968) start: 66558, stop: 66596, length: 39 bases
969) start: 66568, stop: 66576, length: 9 bases
970) start: 66577, stop: 66684, length: 108 bases
971) start: 66618, stop: 66629, length: 12 bases
972) start: 66723, stop: 66734, length: 12 bases
973) start: 66758, stop: 66970, length: 213 bases
974) start: 66908, stop: 66970, length: 63 bases
975) start: 67199, stop: 67210, length: 12 bases
976) start: 67269, stop: 67307, length: 39 bases
977) start: 67276, stop: 67347, length: 72 bases
978) start: 67519, stop: 67560, length: 42 bases
979) start: 67588, stop: 67593, length: 6 bases
980) start: 67607, stop: 67723, length: 117 bases
981) start: 67736, stop: 67753, length: 18 bases
982) start: 67770, stop: 67793, length: 24 bases
983) start: 67859, stop: 68077, length: 219 bases
984) start: 68054, stop: 68077, length: 24 bases
985) start: 68104, stop: 68142, length: 39 bases
986) start: 68157, stop: 68228, length: 72 bases
987) start: 68277, stop: 68294, length: 18 bases
988) start: 68358, stop: 68393, length: 36 bases
989) start: 68456, stop: 68461, length: 6 bases
990) start: 68485, stop: 68517, length: 33 bases
991) start: 68491, stop: 68517, length: 27 bases
992) start: 68495, stop: 68554, length: 60 bases
993) start: 68498, stop: 68554, length: 57 bases
994) start: 68625, stop: 68861, length: 237 bases
995) start: 68928, stop: 68936, length: 9 bases
996) start: 68975, stop: 69016, length: 42 bases
997) start: 68989, stop: 68994, length: 6 bases
998) start: 69205, stop: 69219, length: 15 bases
999) start: 69239, stop: 69325, length: 87 bases
1000) start: 69290, stop: 69325, length: 36 bases
1001) start: 69316, stop: 69459, length: 144 bases
1002) start: 69396, stop: 69437, length: 42 bases
1003) start: 69669, stop: 69833, length: 165 bases
1004) start: 69680, stop: 69733, length: 54 bases
1005) start: 69706, stop: 69849, length: 144 bases
1006) start: 69717, stop: 69833, length: 117 bases
1007) start: 69741, stop: 69833, length: 93 bases
1008) start: 69752, stop: 69823, length: 72 bases
1009) start: 69789, stop: 69833, length: 45 bases
1010) start: 69998, stop: 70003, length: 6 bases
1011) start: 70009, stop: 70047, length: 39 bases
1012) start: 70036, stop: 70047, length: 12 bases
1013) start: 70193, stop: 70258, length: 66 bases
1014) start: 70261, stop: 70293, length: 33 bases
1015) start: 70331, stop: 70345, length: 15 bases
1016) start: 70345, stop: 70479, length: 135 bases
1017) start: 70348, stop: 70479, length: 132 bases
1018) start: 70368, stop: 70424, length: 57 bases
1019) start: 70675, stop: 70785, length: 111 bases
1020) start: 70684, stop: 70785, length: 102 bases
1021) start: 70701, stop: 70706, length: 6 bases
1022) start: 70766, stop: 70825, length: 60 bases
1023) start: 70856, stop: 70894, length: 39 bases
1024) start: 71084, stop: 71155, length: 72 bases
1025) start: 71094, stop: 71117, length: 24 bases
1026) start: 71107, stop: 71166, length: 60 bases
1027) start: 71132, stop: 71155, length: 24 bases
1028) start: 71135, stop: 71155, length: 21 bases
1029) start: 71177, stop: 71203, length: 27 bases
1030) start: 71304, stop: 71327, length: 24 bases
1031) start: 71364, stop: 71438, length: 75 bases
1032) start: 71532, stop: 71588, length: 57 bases
1033) start: 71680, stop: 71757, length: 78 bases
1034) start: 71823, stop: 71897, length: 75 bases
1035) start: 71894, stop: 71935, length: 42 bases
1036) start: 72235, stop: 72363, length: 129 bases
1037) start: 72241, stop: 72363, length: 123 bases
1038) start: 72440, stop: 72457, length: 18 bases
1039) start: 72554, stop: 72604, length: 51 bases
1040) start: 72601, stop: 72693, length: 93 bases
1041) start: 72628, stop: 72693, length: 66 bases
1042) start: 72671, stop: 72685, length: 15 bases
1043) start: 72694, stop: 72741, length: 48 bases
1044) start: 72864, stop: 72902, length: 39 bases
1045) start: 72927, stop: 72947, length: 21 bases
1046) start: 73109, stop: 73150, length: 42 bases
1047) start: 73150, stop: 73167, length: 18 bases
1048) start: 73199, stop: 73222, length: 24 bases
1049) start: 73203, stop: 73226, length: 24 bases
1050) start: 73375, stop: 73407, length: 33 bases
1051) start: 73511, stop: 73675, length: 165 bases
1052) start: 73584, stop: 74033, length: 450 bases
1053) start: 73590, stop: 74033, length: 444 bases
1054) start: 73665, stop: 74033, length: 369 bases
1055) start: 73698, stop: 74033, length: 336 bases
1056) start: 73785, stop: 74033, length: 249 bases
1057) start: 74121, stop: 74252, length: 132 bases
1058) start: 74134, stop: 74163, length: 30 bases
1059) start: 74160, stop: 74252, length: 93 bases
1060) start: 74327, stop: 74371, length: 45 bases
1061) start: 74362, stop: 74367, length: 6 bases
1062) start: 74453, stop: 74560, length: 108 bases
1063) start: 74486, stop: 74560, length: 75 bases
1064) start: 74627, stop: 74680, length: 54 bases
1065) start: 74637, stop: 74645, length: 9 bases
1066) start: 74655, stop: 74669, length: 15 bases
1067) start: 74669, stop: 74680, length: 12 bases
1068) start: 74750, stop: 74788, length: 39 bases
1069) start: 74788, stop: 74859, length: 72 bases
1070) start: 74876, stop: 75085, length: 210 bases
1071) start: 74916, stop: 75044, length: 129 bases
1072) start: 74929, stop: 75012, length: 84 bases
1073) start: 75136, stop: 75153, length: 18 bases
1074) start: 75177, stop: 75206, length: 30 bases
1075) start: 75264, stop: 75284, length: 21 bases
1076) start: 75305, stop: 75343, length: 39 bases
1077) start: 75315, stop: 75350, length: 36 bases
1078) start: 75347, stop: 75370, length: 24 bases
1079) start: 75401, stop: 75421, length: 21 bases
1080) start: 75408, stop: 75497, length: 90 bases
1081) start: 75421, stop: 75477, length: 57 bases
1082) start: 75492, stop: 75497, length: 6 bases
1083) start: 75528, stop: 75536, length: 9 bases
1084) start: 75606, stop: 75689, length: 84 bases
1085) start: 75616, stop: 75654, length: 39 bases
1086) start: 75633, stop: 75689, length: 57 bases
1087) start: 75651, stop: 75689, length: 39 bases
1088) start: 75686, stop: 78997, length: 3312 bases
1089) start: 75690, stop: 75695, length: 6 bases
1090) start: 75757, stop: 75771, length: 15 bases
1091) start: 75778, stop: 75783, length: 6 bases
1092) start: 75783, stop: 75818, length: 36 bases
1093) start: 75825, stop: 75917, length: 93 bases
1094) start: 75853, stop: 75861, length: 9 bases
1095) start: 75874, stop: 75891, length: 18 bases
1096) start: 75903, stop: 75917, length: 15 bases
1097) start: 75945, stop: 75977, length: 33 bases
1098) start: 75966, stop: 75977, length: 12 bases
1099) start: 75984, stop: 76025, length: 42 bases
1100) start: 75993, stop: 76025, length: 33 bases
1101) start: 75996, stop: 76025, length: 30 bases
1102) start: 76014, stop: 76025, length: 12 bases
1103) start: 76029, stop: 76046, length: 18 bases
1104) start: 76047, stop: 76055, length: 9 bases
1105) start: 76056, stop: 76085, length: 30 bases
1106) start: 76107, stop: 76118, length: 12 bases
1107) start: 76120, stop: 76125, length: 6 bases
1108) start: 76224, stop: 76229, length: 6 bases
1109) start: 76388, stop: 78997, length: 2610 bases
1110) start: 76422, stop: 76433, length: 12 bases
1111) start: 76433, stop: 78997, length: 2565 bases
1112) start: 76455, stop: 76511, length: 57 bases
1113) start: 76488, stop: 76511, length: 24 bases
1114) start: 76577, stop: 78997, length: 2421 bases
1115) start: 76659, stop: 76673, length: 15 bases
1116) start: 76769, stop: 78997, length: 2229 bases
1117) start: 76802, stop: 78997, length: 2196 bases
1118) start: 76851, stop: 76898, length: 48 bases
1119) start: 76872, stop: 76898, length: 27 bases
1120) start: 76908, stop: 77003, length: 96 bases
1121) start: 77025, stop: 77054, length: 30 bases
1122) start: 77048, stop: 78997, length: 1950 bases
1123) start: 77127, stop: 77171, length: 45 bases
1124) start: 77197, stop: 77223, length: 27 bases
1125) start: 77244, stop: 77333, length: 90 bases
1126) start: 77268, stop: 77333, length: 66 bases
1127) start: 77301, stop: 77333, length: 33 bases
1128) start: 77336, stop: 78997, length: 1662 bases
1129) start: 77355, stop: 77474, length: 120 bases
1130) start: 77427, stop: 77474, length: 48 bases
1131) start: 77440, stop: 77502, length: 63 bases
1132) start: 77503, stop: 77508, length: 6 bases
1133) start: 77535, stop: 77795, length: 261 bases
1134) start: 77619, stop: 77795, length: 177 bases
1135) start: 77626, stop: 77631, length: 6 bases
1136) start: 77709, stop: 77795, length: 87 bases
1137) start: 77776, stop: 77781, length: 6 bases
1138) start: 77819, stop: 78997, length: 1179 bases
1139) start: 77837, stop: 78997, length: 1161 bases
1140) start: 77844, stop: 77867, length: 24 bases
1141) start: 77898, stop: 77939, length: 42 bases
1142) start: 77931, stop: 77939, length: 9 bases
1143) start: 77952, stop: 77981, length: 30 bases
1144) start: 77973, stop: 77981, length: 9 bases
1145) start: 77991, stop: 78014, length: 24 bases
1146) start: 78039, stop: 78056, length: 18 bases
1147) start: 78044, stop: 78997, length: 954 bases
1148) start: 78135, stop: 78146, length: 12 bases
1149) start: 78206, stop: 78997, length: 792 bases
1150) start: 78219, stop: 78260, length: 42 bases
1151) start: 78249, stop: 78260, length: 12 bases
1152) start: 78261, stop: 78275, length: 15 bases
1153) start: 78264, stop: 78275, length: 12 bases
1154) start: 78300, stop: 78425, length: 126 bases
1155) start: 78456, stop: 78500, length: 45 bases
1156) start: 78600, stop: 78620, length: 21 bases
1157) start: 78667, stop: 78678, length: 12 bases
1158) start: 78767, stop: 78997, length: 231 bases
1159) start: 78825, stop: 78893, length: 69 bases
1160) start: 78828, stop: 78893, length: 66 bases
1161) start: 78878, stop: 78997, length: 120 bases
1162) start: 78948, stop: 79013, length: 66 bases
1163) start: 78954, stop: 79013, length: 60 bases
1164) start: 79023, stop: 79049, length: 27 bases
1165) start: 79091, stop: 79144, length: 54 bases
1166) start: 79194, stop: 79256, length: 63 bases
1167) start: 79218, stop: 79256, length: 39 bases
1168) start: 79410, stop: 79442, length: 33 bases
1169) start: 79444, stop: 79485, length: 42 bases
1170) start: 79490, stop: 79654, length: 165 bases
1171) start: 79545, stop: 79616, length: 72 bases
1172) start: 79647, stop: 79775, length: 129 bases
1173) start: 79752, stop: 79775, length: 24 bases
1174) start: 79807, stop: 79839, length: 33 bases
1175) start: 79982, stop: 80110, length: 129 bases
1176) start: 80033, stop: 80110, length: 78 bases
1177) start: 80071, stop: 80097, length: 27 bases
1178) start: 80355, stop: 80363, length: 9 bases
1179) start: 80371, stop: 80877, length: 507 bases
1180) start: 80504, stop: 80614, length: 111 bases
1181) start: 80564, stop: 80614, length: 51 bases
1182) start: 80654, stop: 80665, length: 12 bases
1183) start: 80718, stop: 80825, length: 108 bases
1184) start: 80809, stop: 80877, length: 69 bases
1185) start: 80837, stop: 80845, length: 9 bases
1186) start: 80866, stop: 80877, length: 12 bases
1187) start: 80880, stop: 80885, length: 6 bases
1188) start: 80887, stop: 80922, length: 36 bases
1189) start: 80892, stop: 80906, length: 15 bases
1190) start: 80898, stop: 80906, length: 9 bases
1191) start: 80953, stop: 80994, length: 42 bases
